model,image_name,image_type,true_object,pred_object,vlm_answer,sim_to_grey,sim_to_color,correct,quality
GPT-5.5,2128g.png,grey,knife,knife,,0.30617478489875793,0.2626478672027588,True,L
GPT-5.5,2128c.png,color,elk,knife,,0.30617478489875793,0.2626478672027588,False,L
GPT-5.5,2155g.png,grey,elephant,elephant,,0.30191904306411743,0.24619829654693604,True,L
GPT-5.5,2155c.png,color,bell,elephant,,0.30191904306411743,0.24619829654693604,False,L
GPT-5.5,2160g.png,grey,chimpanzee,pizza,,0.16953660547733307,0.31865745782852173,False,H
GPT-5.5,2160c.png,color,pizza,pizza,,0.16953660547733307,0.31865745782852173,True,H
GPT-5.5,2180g.png,grey,ocean,cup,cup,0.2871093451976776,1.0,False,L
GPT-5.5,2180c.png,color,cup,cup,,0.22890108823776245,0.41000252962112427,True,L
GPT-5.5,2193g.png,grey,stone,bowl,,0.2542261779308319,0.2945424020290375,False,M
GPT-5.5,2193c.png,color,bowl,bowl,bowl,0.3672318160533905,1.0000001192092896,True,M
GPT-5.5,2196g.png,grey,plug,plug,,0.30532392859458923,0.2432856559753418,True,M
GPT-5.5,2196c.png,color,chair,plug,,0.30532392859458923,0.2432856559753418,False,M
GPT-5.5,2230g.png,grey,sprinkler,opossum,,0.21051298081874847,0.24067915976047516,False,L
GPT-5.5,2230c.png,color,opossum,opossum,opossum,0.17481432855129242,0.9999999403953552,True,L
GPT-5.5,2233g.png,grey,jackfruit,quilt,,0.1799858957529068,0.25416508316993713,False,M
GPT-5.5,2233c.png,color,quilt,quilt,,0.1799858957529068,0.25416508316993713,True,M
GPT-5.5,2250g.png,grey,twister,reindeer,,0.24052762985229492,0.25054049491882324,False,L
GPT-5.5,2250c.png,color,reindeer,reindeer,,0.24052762985229492,0.25054049491882324,True,L
GPT-5.5,2277g.png,grey,pipe,pipe,,0.280582070350647,0.26862701773643494,True,M
GPT-5.5,2277c.png,color,cabbage,pipe,,0.280582070350647,0.26862701773643494,False,M
GPT-5.5,2286g.png,grey,glass,glass,glass,1.0,0.32938656210899353,True,H
GPT-5.5,2286c.png,color,rabbit,glass,,0.3009057641029358,0.27791574597358704,False,H
GPT-5.5,2292g.png,grey,keyboard,toothbrush,toothbrush,0.33911848068237305,1.000000238418579,False,M
GPT-5.5,2292c.png,color,toothbrush,keyboard,,0.24576474726200104,0.20831045508384705,False,M
GPT-5.5,2297g.png,grey,lawnmower,lawnmower,lawnmower,1.0000001192092896,0.11856133490800858,True,L
GPT-5.5,2297c.png,color,bathtub,lawnmower,,0.20966912806034088,0.1808890998363495,False,L
GPT-5.5,2298g.png,grey,sun,notebook,notebook,0.20061248540878296,1.0000001192092896,False,M
GPT-5.5,2298c.png,color,notebook,notebook,notebook,0.20061248540878296,1.0000001192092896,True,M
GPT-5.5,2300g.png,grey,pineapple,pineapple,,0.2792682349681854,0.24508729577064514,True,M
GPT-5.5,2300c.png,color,bed,pineapple,,0.2792682349681854,0.24508729577064514,False,M
GPT-5.5,2318g.png,grey,ring,phone,,0.2610893249511719,0.32242974638938904,False,L
GPT-5.5,2318c.png,color,phone,phone,,0.2610893249511719,0.32242974638938904,True,L
GPT-5.5,2325g.png,grey,monitor,melon,,0.2370876967906952,0.2732059955596924,False,M
GPT-5.5,2325c.png,color,melon,melon,,0.2370876967906952,0.2732059955596924,True,M
GPT-5.5,2344g.png,grey,chameleon,music,,0.18295098841190338,0.2515767514705658,False,L
GPT-5.5,2344c.png,color,music,music,,0.18295098841190338,0.2515767514705658,True,L
GPT-5.5,2347g.png,grey,bucket,bucket,bucket,1.0,0.3464581370353699,True,L
GPT-5.5,2347c.png,color,hill,bucket,,0.3027912378311157,0.2576705515384674,False,L
GPT-5.5,2348g.png,grey,valley,laptop,,0.2624063491821289,0.26748210191726685,False,H
GPT-5.5,2348c.png,color,laptop,laptop,,0.2624063491821289,0.26748210191726685,True,H
GPT-5.5,2349g.png,grey,lightning,lightning,,0.31089529395103455,0.18792127072811127,True,L
GPT-5.5,2349c.png,color,notepad,lightning,,0.31089529395103455,0.18792127072811127,False,L
GPT-5.5,2382g.png,grey,lamb,lamb,lamb,0.9999998807907104,0.2745569944381714,True,M
GPT-5.5,2382c.png,color,carrot,carrot,,0.31278201937675476,0.3315981924533844,True,M
